Species,Body mass 
Ursus maritimus,265
Ursus arctos,251.3
Ursus americanus ,93.4
Nasua narica,4.4
Procyon lotor,7
Mephitis mephitis,2.5
Meles meles,11.6
Canis lupus,35.3
Canis latrans,13.3
Lycaon pictus,20
Canis aureus,8.8
Urocyon cinereoargenteus ,3.7
Vulpes fulva,4.8
Hyaena hyaena   ,26.8
Crocuta crocuta,52
Acinonyx jubatus,58.8
Panthera pardus ,52.4
Panthera tigris,161
Panthera leo,155.8
Tapirus bairdii,250
Ceratotherlum simum  ,2000
Diceros bicornis ,1200
 Equus hemionus,200
 Equus caballus,350
Equus burchelli ,235
Lama guanicoe,95
Camelus dromedarius  ,550
Giraffa camelopardalis,1075
Syncerus cafer,620
Bison bison,865
Taurotragus oryx ,511
Gazella granti,62.5
Gazella thomsonli     ,20.5
Antilope cervicapra,37.5
Madoqua kirki,5
Oreamnos americanus,113.5
Ovis canadensis nelsoni ,85
Hlppotragus equinus,226.5
Aepyceros melampus,53.25
Connochaetes taurinus ,216
Damaliscus lunatus ,130
Alcelaphus buselaphus,136
Antilocapra amerlcana ,50
 Cervus canadensis,300
Duma duma,55
Alces alces,384
Rangifer tarandus  ,100
Odocoileus virginianus,57
Odocoileus hemionus,74